"Bin","X","Y","Score","Diff","PrimaryDistance","On","Off"
"8,40","320","1602","511","529","18","1E5249","F2EFE9"
"22,36","861","1447","503","525","22","20534A","F2EFE9"
"27,28","1073","1121","492","519","27","22554B","EFEDED"
"16,38","630","1504","487","517","30","23564C","F2EFE9"
"8,38","323","1509","480","514","34","25574D","EFEEEE"
"26,14","1035","565","477","508","31","24564C","EFECE7"
"5,40","217","1582","473","510","37","26584E","F2EFE9"
"16,37","635","1496","473","510","37","26584E","F2EFE9"
"5,37","206","1469","473","534","61","2F5F56","FEFEFE"
"11,37","435","1463","473","534","61","2F5F56","FEFEFE"
"2,37","98","1482","473","534","61","2F5F56","FEFEFE"
"9,36","364","1447","471","499","28","23554B","EBE8E3"
"19,36","767","1457","465","523","58","2E5E55","FAF9F9"
"10,39","399","1541","463","521","58","2E5E55","F9F9F8"
"21,37","855","1476","463","505","42","285950","F2EFE9"
"19,38","774","1500","463","505","42","285950","F2EFE9"
"10,36","380","1436","463","521","58","2E5E55","F9F9F8"
"3,37","126","1491","462","520","58","2E5E55","F9F9F7"
"10,38","399","1540","462","522","60","2F5F55","FAFAF9"
"9,38","375","1540","461","519","58","2E5E55","F8F8F8"
"26,23","1030","918","459","503","44","285A51","F2EFE9"
"20,37","794","1496","459","503","44","295A50","F2EFE9"
"26,22","1056","873","458","500","42","285950","F0EDE8"
"7,39","287","1578","457","486","29","22564C","DDE7E6"
"14,37","577","1483","455","501","46","295B51","F2EFE9"
"6,40","229","1590","455","501","46","295B51","F2EFE9"
"9,39","376","1541","454","512","58","2E5E55","F6F6F5"
"25,18","1001","709","453","500","47","295B52","F2EFE9"
"18,36","708","1458","452","510","58","2E5E55","F5F5F5"
"17,38","674","1504","450","494","44","295A50","EFECE6"
"26,24","1031","966","449","498","49","2B5B52","F2EFE9"
"24,35","961","1394","449","474","25","21544B","E3D6E1"
"25,15","1011","584","449","498","49","2B5B52","F2EFE9"
"18,37","702","1479","448","492","44","295A50","EEEBE6"
"22,37","864","1467","447","497","50","2B5C52","F2EFE9"
"7,41","270","1636","447","496","49","2B5B52","F1EEE9"
"6,41","227","1629","447","497","50","2B5C52","F2EFE9"
"5,39","201","1573","446","463","17","1E5248","C6DEE3"
"27,10","1084","396","445","487","42","285950","E7EAE7"
"20,38","802","1500","445","490","45","295A51","EDEBE6"
